Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
2023-01-01,Indiranagar,100 Feet Road,38088,34.52467704960778,1.5,100.0,100.0,0,126.176,50.46975393721324,76.1159676535231,53.04686162422083,112,Clear,No
2023-01-01,Indiranagar,CMH Road,11455,55.23881134977163,1.2897847057704572,29.48106924095597,57.51325252498091,1,72.91,23.808130705882142,63.96324628460389,92.95439817440464,189,Clear,Yes
2023-01-01,Koramangala,Sarjapur Road,57026,41.124461311513045,1.5,100.0,100.0,0,164.05200000000002,59.84891482362482,81.2183652951034,80.04749042390513,107,Clear,No
2023-01-01,Electronic City,Hosur Road,29119,22.379864979670188,1.5,100.0,100.0,1,108.238,14.22633513301863,90.6832920398584,64.67156700460137,89,Clear,No
2023-01-01,M.G. Road,Trinity Circle,41318,31.116683310303763,1.5,100.0,100.0,1,132.636,62.06085185160126,74.13735642892583,63.07188560810469,96,Clear,No
2023-01-01,Jayanagar,Jayanagar 4th Block,17109,26.574120989458876,1.2402646707396434,50.15123059557388,84.87354398055291,0,84.218,45.71753209315216,82.98204312186277,83.1199133730761,96,Clear,No
2023-01-02,Indiranagar,100 Feet Road,24106,50.8089401459522,1.088829557847443,74.5498575547894,100.0,1,98.212,39.988859098425294,92.69401818931512,70.72198205930047,110,Overcast,No
2023-01-02,Indiranagar,CMH Road,24152,35.67073798957518,1.0042327570391978,79.82142368571401,100.0,0,98.304,70.95483911198143,85.62072769224142,82.26171493240238,97,Clear,No
2023-01-02,Whitefield,ITPL Main Road,11160,43.89830213285733,1.3277946053960212,43.63374054153627,54.1599204083098,0,72.32,78.36112486400286,93.09904333144256,60.78302082367854,191,Rain,No
2023-01-02,Koramangala,Sony World Junction,43541,44.354497436204966,1.5,100.0,100.0,2,137.082,73.83365872632174,79.32502628511736,58.50666950009099,101,Clear,No
